W,97,72,36,59,.610,6,14,.429,19,27,.704,11,41,19,8,7,17,15,26,70,.371,9,32,.281,11,14,.786,12,24,13,8,4,11,20
W,106,44,38,71,.535,11,24,.458,19,26,.731,15,42,32,18,8,10,14,13,47,.277,5,20,.250,13,17,.765,5,23,8,7,1,25,20
W,83,50,31,66,.470,13,30,.433,8,16,.500,11,46,15,12,8,10,18,17,58,.293,7,25,.280,9,17,.529,8,32,10,6,2,16,16
W,99,50,25,60,.417,8,22,.364,41,59,.695,15,41,16,19,6,10,16,19,61,.311,5,17,.294,7,11,.636,11,36,12,4,4,27,37
W,64,49,22,54,.407,8,23,.348,12,17,.706,14,36,16,8,3,11,14,19,51,.373,7,18,.389,4,5,.800,10,27,6,5,4,15,18
W,65,61,21,54,.389,7,17,.412,16,24,.667,14,36,15,5,3,11,13,22,52,.423,7,16,.438,10,11,.909,5,26,12,9,4,12,20
W,61,56,22,53,.415,7,22,.318,10,12,.833,10,34,8,6,5,12,13,21,56,.375,11,22,.500,3,4,.750,7,27,12,5,0,10,16
L,76,78,25,50,.500,8,21,.381,18,24,.750,7,31,15,2,10,14,17,27,64,.422,7,19,.368,17,22,.773,9,26,11,7,3,6,19
W,87,66,35,73,.479,6,29,.207,11,18,.611,20,48,25,9,6,10,14,26,67,.388,8,17,.471,6,13,.462,15,37,11,5,2,11,13
L,55,65,21,52,.404,7,26,.269,6,11,.545,11,29,17,6,5,15,13,27,56,.482,6,15,.400,5,12,.417,7,29,14,8,3,8,13
W,75,59,26,57,.456,10,21,.476,13,21,.619,11,36,20,9,8,13,13,21,59,.356,7,24,.292,10,12,.833,5,30,12,7,3,13,18
W,69,63,17,47,.362,5,15,.333,30,35,.857,12,39,7,4,6,12,22,20,59,.339,7,19,.368,16,25,.640,16,34,9,4,2,8,24
L,79,81,31,66,.470,7,21,.333,10,16,.625,16,39,15,4,4,10,12,29,68,.426,9,30,.300,14,19,.737,13,33,16,7,1,7,14
L,70,77,26,61,.426,7,19,.368,11,12,.917,11,25,13,2,2,8,15,26,52,.500,10,22,.455,15,22,.682,10,27,12,5,4,7,11
W,76,57,27,59,.458,12,23,.522,10,15,.667,14,38,20,11,5,13,24,18,54,.333,4,21,.190,17,25,.680,8,25,14,6,2,14,15
L,57,59,23,61,.377,8,23,.348,3,4,.750,10,27,11,12,4,10,20,22,43,.512,5,15,.333,10,19,.526,9,29,15,2,11,16,9
W,54,51,17,55,.309,5,18,.278,15,19,.789,13,31,11,10,3,10,14,23,45,.511,2,9,.222,3,8,.375,4,27,6,5,4,18,18
W,70,59,27,65,.415,8,23,.348,8,12,.667,16,34,17,10,4,7,16,20,55,.364,10,22,.455,9,18,.500,17,37,9,2,2,17,14
L (2 OT),65,67,26,70,.371,1,18,.056,12,19,.632,15,51,13,4,6,16,17,26,76,.342,7,24,.292,8,18,.444,14,39,13,7,4,9,17
W,76,72,30,60,.500,4,15,.267,12,15,.800,5,26,12,10,8,10,16,25,57,.439,10,22,.455,12,16,.750,9,34,17,6,3,15,18
W,97,75,35,62,.565,11,21,.524,16,25,.640,8,32,21,10,5,8,18,27,56,.482,11,24,.458,10,13,.769,5,26,14,3,1,19,20
W,58,57,21,55,.382,8,21,.381,8,12,.667,9,34,12,7,10,14,12,23,60,.383,6,16,.375,5,8,.625,8,30,17,7,7,10,15
W,88,57,29,64,.453,10,29,.345,20,25,.800,13,32,21,11,6,7,17,20,51,.392,3,15,.200,14,20,.700,12,30,6,1,0,20,19
L,59,63,21,58,.362,5,22,.227,12,19,.632,11,37,12,5,7,10,19,20,66,.303,5,16,.313,18,24,.750,22,46,8,6,5,12,13
W,69,51,23,63,.365,10,23,.435,13,16,.813,13,39,14,12,4,10,17,16,42,.381,10,25,.400,9,19,.474,4,29,10,3,7,18,15
W,75,60,29,60,.483,8,27,.296,9,12,.750,11,36,21,8,4,10,10,22,58,.379,9,22,.409,7,11,.636,8,26,12,6,0,12,14
L (1 OT),68,70,25,64,.391,8,28,.286,10,17,.588,8,38,18,5,5,13,15,25,62,.403,5,13,.385,15,20,.750,7,37,8,7,1,11,16
W,65,60,23,54,.426,7,19,.368,12,21,.571,10,37,13,4,7,10,10,22,59,.373,9,23,.391,7,9,.778,9,30,10,4,4,8,16
W,65,56,25,58,.431,8,20,.400,7,11,.636,9,35,15,5,5,7,9,20,53,.377,13,29,.448,3,5,.600,5,28,15,1,0,11,11
L,56,69,17,51,.333,8,22,.364,14,21,.667,13,34,9,2,5,11,21,22,54,.407,5,18,.278,20,25,.800,8,31,9,5,7,5,23
W,61,54,18,61,.295,1,19,.053,24,30,.800,12,34,9,9,7,5,13,22,56,.393,2,12,.167,8,12,.667,12,38,10,2,2,17,21
