W,74,55,24,47,.511,11,24,.458,15,23,.652,5,30,17,4,6,15,19,19,51,.373,5,14,.357,12,17,.706,9,31,4,7,0,16,21
W,75,68,26,57,.456,8,18,.444,15,22,.682,9,27,16,6,6,8,17,25,51,.490,4,10,.400,14,21,.667,9,27,13,4,4,13,20
W,88,67,30,63,.476,9,31,.290,19,23,.826,13,33,19,9,4,18,14,23,57,.404,11,25,.440,10,11,.909,13,32,11,8,3,25,24
W,89,71,30,55,.545,8,10,.800,21,26,.808,9,31,12,12,4,14,21,24,60,.400,4,16,.250,19,25,.760,16,34,15,7,6,15,19
W,67,58,20,48,.417,3,15,.200,24,27,.889,4,31,14,4,8,8,18,21,63,.333,4,18,.222,12,19,.632,15,37,4,5,1,10,21
W,76,71,24,55,.436,5,20,.250,23,27,.852,7,31,13,8,6,14,20,30,66,.455,2,8,.250,9,14,.643,13,37,6,6,1,15,17
W,73,68,24,51,.471,5,12,.417,20,27,.741,7,35,11,3,5,8,19,23,68,.338,6,21,.286,16,22,.727,16,35,6,4,2,7,23
W,88,50,35,67,.522,7,20,.350,11,21,.524,10,46,23,9,8,11,19,18,65,.277,2,14,.143,12,20,.600,12,36,3,5,1,15,17
W,90,67,28,59,.475,12,20,.600,22,29,.759,10,36,19,6,2,6,15,29,73,.397,8,21,.381,1,4,.250,14,35,16,3,4,10,21
W,88,47,34,60,.567,7,21,.333,13,17,.765,4,28,23,11,7,10,11,20,55,.364,1,11,.091,6,8,.750,9,33,8,5,1,25,15
W,76,54,29,67,.433,11,19,.579,7,16,.438,14,42,16,10,2,12,13,20,52,.385,7,18,.389,7,8,.875,4,31,10,3,1,17,15
W,90,77,31,63,.492,7,14,.500,21,33,.636,13,36,15,6,2,11,17,28,61,.459,9,27,.333,12,15,.800,6,26,9,7,6,14,26
W,67,50,21,46,.457,5,11,.455,20,22,.909,3,30,8,5,5,12,17,17,56,.304,4,19,.211,12,13,.923,12,33,9,3,6,14,19
W,80,62,29,63,.460,11,24,.458,11,22,.500,8,29,22,6,4,6,16,23,56,.411,4,11,.364,12,18,.667,9,37,8,4,1,19,25
W,68,40,27,56,.482,8,15,.533,6,14,.429,11,39,13,8,1,12,12,15,53,.283,1,11,.091,9,14,.643,11,28,3,8,3,13,12
L,76,84,30,67,.448,6,20,.300,10,12,.833,12,31,10,6,4,12,20,30,59,.508,4,8,.500,20,23,.870,9,33,13,4,4,11,13
W,73,57,26,65,.400,10,21,.476,11,16,.688,14,38,12,10,5,13,18,22,58,.379,4,16,.250,9,18,.500,11,39,7,4,5,21,19
L,63,90,22,74,.297,4,23,.174,15,23,.652,15,39,13,7,2,10,20,33,58,.569,9,19,.474,15,27,.556,8,44,14,8,8,16,21
W,84,64,33,63,.524,11,22,.500,7,17,.412,9,31,18,7,3,4,15,25,60,.417,5,18,.278,9,16,.563,16,42,10,1,5,14,16
W,75,70,28,54,.519,2,14,.143,17,22,.773,7,27,13,5,4,15,21,25,52,.481,3,11,.273,17,21,.810,5,25,14,4,3,17,21
W,79,60,31,51,.608,11,18,.611,6,8,.750,6,23,20,7,6,10,15,23,55,.418,3,13,.231,11,13,.846,8,21,9,4,2,11,14
W,98,85,28,52,.538,10,24,.417,32,41,.780,6,30,18,3,4,7,21,35,66,.530,4,9,.444,11,19,.579,9,27,12,2,1,7,22
W,62,61,21,52,.404,6,17,.353,14,18,.778,10,26,12,5,3,13,16,21,47,.447,2,11,.182,17,20,.850,5,26,9,11,0,12,17
W,73,68,25,56,.446,6,16,.375,17,20,.850,11,37,10,6,2,17,22,25,66,.379,5,18,.278,13,23,.565,18,36,8,8,3,13,18
L,81,83,30,63,.476,6,19,.316,15,21,.714,4,17,14,12,1,12,24,27,45,.600,4,13,.308,25,34,.735,8,38,11,7,6,26,25
W,88,56,30,56,.536,12,17,.706,16,21,.762,9,32,15,5,4,5,18,22,51,.431,1,16,.063,11,14,.786,7,23,8,1,4,12,21
W,89,68,28,52,.538,7,15,.467,26,33,.788,9,30,15,7,2,13,23,24,49,.490,5,13,.385,15,23,.652,6,26,12,7,1,16,25
L,68,73,21,53,.396,8,25,.320,18,20,.900,2,21,8,4,1,9,23,24,52,.462,3,11,.273,22,29,.759,9,33,10,3,6,10,18
W,79,76,26,50,.520,11,23,.478,16,26,.615,4,25,12,4,5,10,18,28,64,.438,6,21,.286,14,17,.824,11,37,7,1,0,10,20
W,85,57,30,58,.517,12,23,.522,13,16,.813,11,36,17,3,2,4,13,22,57,.386,5,17,.294,8,13,.615,11,29,7,1,2,10,19
W,69,53,27,49,.551,5,15,.333,10,12,.833,9,31,12,5,1,14,14,21,62,.339,1,14,.071,10,13,.769,16,27,10,6,2,11,13
