W,72,65,20,53,.377,1,8,.125,31,41,.756,16,40,7,5,0,9,20,20,44,.455,7,17,.412,18,23,.783,2,17,9,3,2,13,33
W,93,50,35,65,.538,3,16,.188,20,23,.870,12,38,17,12,7,8,21,14,50,.280,5,18,.278,17,27,.630,10,20,5,2,3,20,16
W,60,53,22,53,.415,5,15,.333,11,19,.579,11,46,12,3,3,14,17,18,61,.295,5,29,.172,12,15,.800,7,28,10,7,4,7,26
W,73,55,29,67,.433,8,18,.444,7,10,.700,19,40,15,4,2,11,18,22,50,.440,3,11,.273,8,15,.533,6,19,7,4,3,10,13
W,85,69,29,54,.537,6,19,.316,21,23,.913,10,35,21,5,0,12,17,25,59,.424,5,19,.263,14,21,.667,12,26,8,4,1,8,22
W,79,72,26,54,.481,7,15,.467,20,26,.769,13,39,12,8,3,14,13,28,55,.509,10,22,.455,6,12,.500,2,16,20,5,1,12,24
L,61,70,21,59,.356,6,19,.316,13,16,.813,15,39,6,4,3,13,23,23,50,.460,6,13,.462,18,31,.581,7,27,8,7,5,7,13
L,55,64,19,57,.333,4,10,.400,13,20,.650,20,41,10,3,4,15,18,19,50,.380,7,21,.333,19,22,.864,8,22,12,8,7,10,17
W,83,55,31,61,.508,7,11,.636,14,18,.778,12,38,22,8,2,8,13,20,47,.426,7,23,.304,8,14,.571,5,21,12,2,4,15,16
W,78,58,27,54,.500,5,16,.313,19,28,.679,10,34,18,3,2,9,14,19,51,.373,7,24,.292,13,16,.813,4,25,7,4,1,13,22
W,70,53,28,58,.483,1,15,.067,13,15,.867,10,30,10,6,0,7,11,21,53,.396,4,20,.200,7,11,.636,10,29,9,2,1,13,14
W,88,52,30,63,.476,11,24,.458,17,27,.630,17,42,22,7,2,6,15,19,53,.358,6,21,.286,8,16,.500,12,30,4,1,4,15,21
W,80,55,29,60,.483,6,14,.429,16,23,.696,9,48,16,5,4,14,14,20,69,.290,9,27,.333,6,16,.375,9,34,6,6,3,10,20
W,62,58,22,50,.440,2,9,.222,16,23,.696,9,35,8,4,3,11,17,18,49,.367,5,16,.313,17,23,.739,6,29,7,4,5,8,19
W,85,64,29,55,.527,6,16,.375,21,29,.724,11,45,14,3,6,11,16,22,63,.349,9,26,.346,11,16,.688,7,23,11,9,2,7,24
L (1 OT),72,79,27,75,.360,6,22,.273,12,19,.632,18,51,9,4,3,10,16,24,62,.387,13,29,.448,18,25,.720,7,34,14,4,4,9,15
W,79,40,28,55,.509,6,18,.333,17,23,.739,12,38,20,5,1,14,14,17,46,.370,3,19,.158,3,4,.750,3,19,10,2,2,19,26
W,66,61,21,54,.389,5,14,.357,19,21,.905,11,35,13,7,2,10,15,23,56,.411,6,18,.333,9,14,.643,9,29,6,8,6,13,18
L,61,66,21,57,.368,6,21,.286,13,23,.565,14,41,10,2,3,16,24,19,52,.365,7,16,.438,21,26,.808,5,23,13,7,3,10,20
W,74,63,20,45,.444,5,9,.556,29,34,.853,9,37,12,6,0,14,15,20,52,.385,6,17,.353,17,20,.850,4,19,5,11,3,9,25
W,77,57,26,58,.448,6,22,.273,19,35,.543,13,38,12,3,2,5,17,20,53,.377,3,16,.188,14,17,.824,7,27,7,4,0,12,23
W,65,46,21,45,.467,3,9,.333,20,28,.714,10,37,12,3,3,13,16,17,57,.298,7,27,.259,5,11,.455,9,27,3,4,4,9,22
W,73,69,27,63,.429,6,17,.353,13,21,.619,15,39,12,6,1,10,21,22,55,.400,7,19,.368,18,25,.720,10,27,12,5,4,9,19
W,66,60,24,57,.421,6,14,.429,12,17,.706,13,38,16,5,1,11,12,23,59,.390,6,16,.375,8,14,.571,10,28,7,6,6,8,14
W,89,86,28,52,.538,7,20,.350,26,34,.765,11,39,13,4,1,11,17,33,62,.532,13,31,.419,7,12,.583,5,22,19,7,2,7,24
L,59,61,22,56,.393,3,17,.176,12,17,.706,9,28,11,7,0,10,17,21,49,.429,6,23,.261,13,18,.722,10,36,11,4,10,17,18
L,82,91,29,70,.414,8,21,.381,16,23,.696,18,40,15,4,1,9,22,27,51,.529,12,23,.522,25,33,.758,8,33,18,6,5,9,22
W,74,67,24,50,.480,4,11,.364,22,32,.688,11,29,10,6,0,10,17,21,42,.500,7,15,.467,18,27,.667,3,22,10,6,2,14,26
L,65,78,21,50,.420,4,9,.444,19,32,.594,13,29,9,2,2,9,14,29,54,.537,9,19,.474,11,15,.733,8,28,8,5,1,8,21
W,78,56,32,52,.615,4,12,.333,10,15,.667,11,32,13,5,2,8,18,22,41,.537,5,14,.357,7,17,.412,1,9,9,3,0,8,16
W,77,66,25,57,.439,3,17,.176,24,32,.750,14,31,13,8,1,10,19,24,44,.545,3,13,.231,15,23,.652,5,22,3,4,6,16,23
