W,87,56,29,68,.426,10,29,.345,19,25,.760,19,47,12,6,3,9,23,17,52,.327,6,18,.333,16,23,.696,7,28,7,5,1,12,19
W,86,78,32,56,.571,6,18,.333,16,19,.842,6,26,20,5,4,5,12,27,54,.500,14,21,.667,10,14,.714,5,23,21,0,1,12,17
W,83,57,29,62,.468,13,29,.448,12,17,.706,12,43,14,12,4,11,13,22,58,.379,10,25,.400,3,6,.500,6,30,13,7,2,15,17
L,68,70,26,61,.426,8,22,.364,8,17,.471,13,41,12,4,2,14,16,23,57,.404,6,15,.400,18,22,.818,6,28,8,10,2,6,21
W,68,62,25,55,.455,8,25,.320,10,15,.667,8,35,13,1,4,7,15,25,66,.379,6,24,.250,6,9,.667,12,35,13,4,6,6,19
L,73,74,25,56,.446,7,14,.500,16,23,.696,10,30,12,5,3,8,14,31,57,.544,6,17,.353,6,10,.600,8,30,11,7,3,12,22
W,84,79,29,56,.518,10,20,.500,16,22,.727,5,33,13,1,5,8,14,30,71,.423,11,29,.379,8,9,.889,8,30,15,7,1,3,20
W,86,61,33,60,.550,8,17,.471,12,17,.706,9,37,19,3,2,11,13,25,62,.403,5,18,.278,6,11,.545,6,22,11,4,5,7,16
W,81,61,29,50,.580,10,20,.500,13,19,.684,6,35,19,9,5,9,10,25,58,.431,11,24,.458,0,3,.000,4,19,17,6,2,10,17
L,73,80,32,65,.492,5,18,.278,4,8,.500,11,27,19,8,10,10,18,27,63,.429,10,20,.500,16,23,.696,19,40,13,5,3,12,11
W,87,78,32,60,.533,6,24,.250,17,24,.708,9,32,21,10,8,11,13,29,62,.468,9,22,.409,11,17,.647,8,29,16,8,1,14,18
W,73,56,25,48,.521,9,20,.450,14,24,.583,9,31,14,7,4,13,13,22,58,.379,4,20,.200,8,10,.800,11,27,13,5,0,12,23
L,66,77,27,56,.482,7,22,.318,5,7,.714,8,20,8,6,1,7,17,28,49,.571,4,11,.364,17,24,.708,7,27,17,4,4,7,12
W,82,54,33,53,.623,11,17,.647,5,8,.625,7,35,19,9,5,14,13,17,51,.333,8,27,.296,12,12,1.000,4,19,10,9,1,15,8
L,82,86,32,59,.542,9,20,.450,9,14,.643,7,22,14,3,6,3,20,28,56,.500,10,19,.526,20,24,.833,8,28,17,3,2,6,17
W,72,64,21,54,.389,2,15,.133,28,32,.875,8,38,11,3,3,6,16,24,72,.333,5,19,.263,11,17,.647,16,40,11,2,3,5,21
W,95,91,36,72,.500,7,16,.438,16,20,.800,13,35,13,5,3,6,23,29,56,.518,12,24,.500,21,30,.700,9,28,16,3,5,10,16
W,83,81,29,57,.509,5,17,.294,20,28,.714,10,32,10,5,3,9,20,27,54,.500,7,18,.389,20,27,.741,4,23,14,4,2,10,24
W,76,49,23,48,.479,5,14,.357,25,27,.926,3,34,11,7,4,8,15,16,56,.286,8,18,.444,9,14,.643,9,32,7,5,2,12,19
L,66,81,23,55,.418,10,24,.417,10,16,.625,12,29,15,4,6,10,16,28,61,.459,10,25,.400,15,16,.938,11,33,13,5,5,6,12
W,85,62,31,60,.517,9,26,.346,14,18,.778,11,36,15,13,4,14,16,23,52,.442,4,16,.250,12,19,.632,7,27,13,8,2,18,15
L,70,79,31,67,.463,4,16,.250,4,8,.500,15,33,14,5,5,9,16,31,55,.564,6,16,.375,11,14,.786,7,29,12,6,3,8,13
W,80,76,23,66,.348,3,16,.188,31,38,.816,15,34,9,10,3,2,16,27,59,.458,6,12,.500,16,21,.762,13,39,17,1,5,13,27
W,89,83,29,57,.509,10,22,.455,21,25,.840,7,26,14,4,4,4,14,31,59,.525,10,20,.500,11,16,.688,8,29,12,3,5,8,18
W,71,66,24,56,.429,9,22,.409,14,16,.875,10,33,9,4,4,9,10,23,58,.397,8,20,.400,12,14,.857,6,25,11,7,8,7,18
L,62,63,24,54,.444,6,18,.333,8,13,.615,8,26,10,3,1,9,12,25,60,.417,4,15,.267,9,15,.600,14,36,12,3,3,7,13
W,69,58,24,55,.436,4,18,.222,17,20,.850,6,38,9,5,6,12,16,22,70,.314,4,24,.167,10,17,.588,18,42,14,7,5,7,16
L,56,77,20,56,.357,7,17,.412,9,17,.529,11,34,10,2,1,11,11,29,62,.468,11,24,.458,8,12,.667,9,37,15,3,7,7,14
L,50,68,17,50,.340,3,16,.188,13,16,.813,5,23,8,3,3,6,14,26,58,.448,7,20,.350,9,9,1.000,11,35,13,2,4,6,14
W,89,75,31,62,.500,12,26,.462,15,18,.833,9,36,19,7,4,11,18,29,70,.414,7,23,.304,10,14,.714,13,35,11,5,0,11,15
