W,78,53,29,75,.387,9,21,.429,11,17,.647,13,46,13,8,2,10,16,21,64,.328,3,20,.150,8,16,.500,12,45,10,5,8,20,17
L,63,65,22,62,.355,8,24,.333,11,14,.786,11,39,16,4,3,12,19,21,56,.375,8,26,.308,15,21,.714,6,35,11,6,4,9,13
W,90,68,34,68,.500,10,21,.476,12,18,.667,15,48,17,10,7,20,15,26,73,.356,7,31,.226,9,14,.643,12,33,15,15,3,17,18
W,75,65,21,64,.328,10,38,.263,23,30,.767,12,39,13,5,4,9,21,26,69,.377,4,17,.235,9,21,.429,17,49,8,3,4,13,24
W,59,46,20,44,.455,2,17,.118,17,22,.773,4,38,8,5,3,15,20,14,59,.237,4,23,.174,14,21,.667,10,28,6,9,2,10,23
L,56,69,17,46,.370,5,20,.250,17,19,.895,5,35,6,5,2,21,16,27,62,.435,9,28,.321,6,8,.750,6,31,19,12,3,10,18
W,82,63,31,54,.574,10,20,.500,10,16,.625,7,33,16,10,10,14,11,25,59,.424,9,16,.563,4,8,.500,7,24,11,7,1,16,16
W,87,68,30,64,.469,8,25,.320,19,24,.792,11,38,17,7,7,10,20,24,60,.400,6,18,.333,14,20,.700,8,31,13,4,3,13,20
W,85,53,37,69,.536,8,23,.348,3,4,.750,6,31,19,9,6,6,12,20,60,.333,7,19,.368,6,10,.600,10,33,12,3,2,19,9
L,67,69,27,64,.422,5,16,.313,8,13,.615,12,33,10,6,6,8,16,25,51,.490,5,14,.357,14,22,.636,9,34,12,2,3,14,16
W,85,51,36,62,.581,4,12,.333,9,15,.600,6,31,18,12,4,9,21,12,47,.255,8,28,.286,19,25,.760,9,33,9,6,2,23,18
W,61,43,22,56,.393,4,15,.267,13,20,.650,11,46,7,5,7,14,14,18,61,.295,0,14,.000,7,15,.467,10,35,10,10,3,10,16
W,73,63,22,54,.407,8,22,.364,21,25,.840,10,38,13,5,2,9,16,22,59,.373,7,21,.333,12,18,.667,12,30,11,6,1,10,18
W,70,49,25,60,.417,5,12,.417,15,18,.833,10,38,10,8,5,9,13,18,60,.300,6,21,.286,7,8,.875,8,32,8,2,7,12,15
L (1 OT),63,66,23,57,.404,5,15,.333,12,19,.632,8,30,4,7,7,13,14,30,66,.455,3,11,.273,3,8,.375,13,35,15,4,4,11,20
L,65,86,21,50,.420,7,19,.368,16,23,.696,7,33,12,5,5,22,19,30,68,.441,7,19,.368,19,26,.731,14,38,20,16,5,9,21
W,82,65,29,52,.558,8,18,.444,16,26,.615,7,37,14,7,7,17,14,25,67,.373,7,26,.269,8,12,.667,7,26,11,11,1,16,25
L,78,85,26,65,.400,8,25,.320,18,21,.857,13,33,13,5,6,13,18,29,60,.483,10,19,.526,17,25,.680,13,39,17,8,3,11,17
L,58,69,24,62,.387,6,24,.250,4,7,.571,10,25,18,8,4,12,11,26,52,.500,9,19,.474,8,8,1.000,9,32,15,7,4,15,10
W,81,36,32,61,.525,9,24,.375,8,9,.889,11,37,16,10,10,9,18,11,52,.212,3,17,.176,11,19,.579,14,30,2,3,4,16,11
W,64,56,20,50,.400,6,14,.429,18,22,.818,11,31,12,8,3,13,18,19,48,.396,4,19,.211,14,20,.700,11,27,5,10,6,16,24
W,71,52,27,44,.614,6,11,.545,11,22,.500,3,29,16,7,8,13,18,21,61,.344,5,26,.192,5,11,.455,17,38,7,7,5,15,24
W,68,56,24,52,.462,4,11,.364,16,24,.667,9,43,12,8,11,17,16,23,73,.315,5,13,.385,5,12,.417,20,42,12,10,5,13,16
W,94,83,39,77,.506,10,21,.476,6,6,1.000,13,37,17,5,6,7,12,31,65,.477,14,29,.483,7,14,.500,10,33,12,4,0,14,14
L,56,59,20,53,.377,3,17,.176,13,17,.765,7,26,9,8,8,13,24,13,49,.265,5,15,.333,28,36,.778,12,34,8,6,1,13,18
W,71,69,22,61,.361,8,19,.421,19,25,.760,10,32,11,8,1,5,13,24,55,.436,8,23,.348,13,17,.765,12,40,11,0,13,13,18
W (1 OT),79,75,24,54,.444,11,30,.367,20,25,.800,7,21,12,11,0,15,25,26,44,.591,6,14,.429,17,26,.654,6,25,17,5,4,22,23
W,67,60,22,49,.449,5,14,.357,18,27,.667,9,33,14,3,6,10,11,22,53,.415,6,17,.353,10,16,.625,8,26,10,4,2,9,21
L,70,77,22,62,.355,6,24,.250,20,29,.690,10,37,8,5,1,11,17,29,60,.483,7,19,.368,12,17,.706,8,42,13,5,3,16,21
W,75,73,26,68,.382,6,18,.333,17,22,.773,14,37,9,8,4,8,17,24,63,.381,5,15,.333,20,25,.800,14,38,7,3,6,11,18
W,64,49,20,56,.357,5,11,.455,19,21,.905,7,39,7,6,2,6,13,19,55,.345,3,21,.143,8,15,.533,9,34,9,4,9,10,18
L,65,67,24,59,.407,7,28,.250,10,12,.833,15,41,13,3,4,14,17,26,57,.456,7,19,.368,8,12,.667,7,27,10,12,6,8,13
